# =====================================================
# DEPOT NOTES OPTIONS – FLAT LEAVES (WITH CODES)
# Sections limited to app's current dropdown set.
# Each line: CODE | Category | Description
# =====================================================

[needs]
NE01 | Need | Better water pressure
[delivery_notes]
DL01 | Slot | Preferred AM
DL02 | Slot | Preferred PM
DL03 | Access | Large vehicle suitable
DL04 | Access | Large vehicle restricted
DL05 | Delivery | To garage
DL06 | Delivery | To room within property
DL07 | Contact | Call ahead on arrival
DL08 | Handling | Double-handed lift
DL09 | Handling | Stairs / no lift
BLC01 | Location | Kitchen - not in cupboard
BLC02 | Location | Kitchen - within cupboard
BLC03 | Location | Kitchen - cupboard to be removed
BLC04 | Location | Utility room
BLC05 | Location | Loft
BLC06 | Location | Garage
BLC07 | Location | Bedroom
BLC08 | Location | Airing cupboard
BLC09 | Location | Other internal
BLC10 | Location | See photos / floor plan
BLC11 | Location | Adjacent wall
BLC12 | Location | Minor move to gain clearances

[flue]
FMG01 | Make good | Old balanced flue
FMG02 | Make good | Old fanned flue
FMG03 | Make good | Old roof terminal
FMG04 | Make good | Brick up old flue opening
FN01 | New flue | Use same hole - minor change
FN02 | New flue | New hole - same wall
FN03 | New flue | New hole - alternative wall
FN04 | Orientation | Horizontal
FN05 | Orientation | Vertical
FN06 | Sealing | Seal brickwork to flue
FN07 | Sealing | Vertical flashing kit
FN08 | Sealing | Flat roof flashing by specialist builder
FN09 | Add-on | Plume kit required
FN10 | Add-on | Flue extension
FN11 | Safety | Terminal guard required
FN12 | Orientation | Front aspect
FN13 | Orientation | Rear aspect

[disruption]
DI01 | Disruption | Minimal
DI02 | Disruption | Moderate - carpets lifted
DI03 | Disruption | High - floors lifted
DI04 | Preparation | Customer to clear areas and routes
DI05 | Protection | Dust protection required

[customer_actions]
CA01 | Customer | Clear working areas
CA02 | Customer | Gain permission where required
CA03 | Customer | Ensure animals are kept safely
CA04 | Customer | Remove cupboard
CA05 | Customer | Rebuild cupboard
CA06 | Customer | Remove old flue & weather seal
CA07 | Customer | Supply specified items
